date,code,name,title,body,source,url,provider
2026-06-26,000858,五粮液,五粮液总经理华涛：优化市场营销策略 促进渠道健康发展,人民财讯6月26日电，6月26日，在五粮液0008582025年度股东大会上，总经理华涛表示，公司持续优化市场营销策略，促进渠道健康发展。,证券时报网,http://finance.eastmoney.com/a/202606263784262921.html,akshare
2026-06-26,000858,五粮液,五粮液：董事长曾从钦离任 邓敏接任,五粮液（000858）发布公告，因曾从钦无法正常履职，公司于2026年6月26日召开股东会，决定免去曾从钦的董事职务，并解除其董事长及其他相关职务。曾从钦的任期原定至2028年6月19日，离任后不再担任公司及控股子公司职务。,财中社,http://finance.eastmoney.com/a/202606263784901925.html,akshare
2026-06-26,000858,五粮液,五粮液集团董事长邓敏：两大点始终没有改变 对五粮液发展充满信心,6月26日，在五粮液0008582025年度股东大会上，五粮液集团党委书记、董事长邓敏表示，当前，白酒行业仍处于深度调整阶段，我们需要对此做出理性分析和判断，在穿越周期中抓住战略发展的机会。,人民财讯,http://finance.eastmoney.com/a/202606263784502926.html,akshare
2026-06-26,000858,五粮液,五粮液集团董事长邓敏：两大点始终没有改变 对五粮液发展充满信心,人民财讯6月26日电，6月26日，在五粮液0008582025年度股东大会上，五粮液集团党委书记、董事长邓敏表示，当前，白酒行业仍处于深度调整阶段，我们需要对此做出理性分析和判断，在穿越周期中抓住战略发展的机会。,证券时报网,http://finance.eastmoney.com/a/202606263784510269.html,akshare
2026-06-27,000858,五粮液,再添共管搭档！易方达张坤旗下两只产品增聘基金经理,易方达优质企业三年的持仓和易方达优质精选类似，前十大重仓股合计占比为89.35%，其中贵州茅台、五粮液（000858.SZ）、泸州老窖、腾讯控股、百胜中国（09987.HK）、中国海洋石油（00883.HK）、山西汾酒、阿里巴巴-W（09988.HK）的持仓比例同样达到了9%以上。,界面新闻,http://finance.eastmoney.com/a/202606273785431313.html,akshare
2026-06-26,000858,五粮液,五粮液：选举新董事长,五粮液（000858）6月26日晚间公告，因曾从钦无法正常履职，公司于2026年6月26日召开2025年度股东会，审议通过《关于免去董事及补选第七届董事会非独立董事的议案》，自本次股东会审议通过之日起，曾从钦不再担任公司董事职务，其担任的董事长、董事会专门委员会主任委员及委员职务一并自动解除,证券时报,http://finance.eastmoney.com/a/202606263785069681.html,akshare
2026-06-10,601012,隆基绿能,尾盘直线拉升！601012冲击涨停,；银行、保险、券商板块逆市拉升，厦门银行涨近6%，中国人寿涨超4%；啤酒股集体上扬，惠泉啤酒涨停，燕京啤酒、珠江啤酒涨超6%；工业气体概念强势，中船特气涨超16%创历史新高；和远气体、昊华科技涨停，均创新高；部分光伏产业链股尾盘飙升，爱旭股份、晶澳科技涨停，市值超千亿的隆基绿能（601012,证券时报,http://finance.eastmoney.com/a/202606103766742032.html,akshare
2026-06-23,601012,隆基绿能,隆基绿能控股股东李振国解除质押8000万股股份,北京商报讯6月23日晚间，隆基绿能（601012）披露公告称，公司控股股东李振国于6月22日将其原质押给渤海国际信托股份有限公司的8000万股无限售流通股办理了解除质押手续。,北京商报,http://finance.eastmoney.com/a/202606233779827248.html,akshare
2026-06-26,601012,隆基绿能,硅能源概念上涨0.47%，7股主力资金净流入超亿元,旗滨集团 6.95 12.59 31045.77 9.26 605358 立昂微 6.91 17.22 28405.90 2.90 603938 三孚股份 8.80 12.00 26132.51 7.69 600481 双良节能 10.00 5.93 23679.78 40.85 601012,证券时报网,http://finance.eastmoney.com/a/202606263784826223.html,akshare
2026-06-24,601012,隆基绿能,阳光电源市值领跑光储板块，后续AIDC电源批量节点成关注焦点,据悉，该板块市值第二位至第四位的企业分别为特变电工（600089.SH）、隆基绿能（601012.SH）和东方盛虹（000301.SZ），其市值分别为1184亿元、943亿元和795亿元。,第一财经,http://finance.eastmoney.com/a/202606243781599972.html,akshare
