code,name,mode,n_days,strategy_return,buyhold_return,sharpe,corr_signal_nextday,corr_signal_nextopen,corr_feat_vs_nextopen,pct_buy_days
601012,隆基绿能,tail_pure,115,-0.241612,-0.307193,-2.062082,-0.080243,0.023882,-0.136281,30.434783
601012,隆基绿能,chg_pure,115,-0.305181,-0.307193,-3.573098,-0.143068,-0.039431,-0.257209,42.608696
601012,隆基绿能,flow_delta,115,-0.218902,-0.307193,-1.652913,-0.049007,0.016920,-0.088119,17.391304
601012,隆基绿能,intensity,115,-0.225655,-0.307193,-1.823163,-0.070791,-0.086301,-0.088119,7.826087
601012,隆基绿能,vw7,115,-0.225209,-0.307193,-3.527260,-0.091849,-0.090615,-0.017287,35.652174
601012,隆基绿能,delta7,115,-0.212065,-0.307193,-3.269647,-0.090074,-0.084086,0.349871,34.782609
601012,隆基绿能,big7,115,-0.225209,-0.307193,-3.527260,-0.091079,-0.095010,-0.101068,36.521739
601012,隆基绿能,contra,115,-0.083525,-0.307193,-0.492015,0.035106,0.034776,-0.088119,13.043478
601012,隆基绿能,open30_gap,115,-0.118473,-0.307193,-1.219229,0.001595,-0.031117,0.117495,7.826087
601012,隆基绿能,combo,115,-0.225209,-0.307193,-3.527260,-0.063514,-0.122977,-0.017287,33.913043
601012,隆基绿能,volatile_flow,115,-0.150527,-0.307193,-1.517416,-0.011764,-0.052267,-0.088119,28.695652
601318,中国平安,flow_pure,115,-0.024267,-0.311712,-0.388952,-0.058670,-0.173938,-0.072571,3.478261
601318,中国平安,vw_pure,115,-0.218996,-0.311712,-2.848295,0.008726,0.007153,-0.049263,7.826087
601318,中国平安,open30_pure,115,-0.008465,-0.311712,-0.540194,-0.130126,0.074851,0.043683,2.608696
601318,中国平安,big_pure,115,0.017039,-0.311712,0.394424,0.009990,-0.074239,-0.042781,0.869565
601318,中国平安,delta_pure,115,-0.045288,-0.311712,-0.816245,-0.050129,-0.038126,0.134227,5.217391
601318,中国平安,tail_pure,115,-0.172137,-0.311712,-2.010094,-0.056186,0.086829,0.047348,10.434783
601318,中国平安,chg_pure,115,-0.123388,-0.311712,-1.485288,0.076039,-0.035114,0.016894,51.304348
601318,中国平安,flow_delta,115,-0.072269,-0.311712,-1.175994,-0.083950,-0.125744,-0.072571,6.956522
601318,中国平安,intensity,115,0.001609,-0.311712,-0.311420,0.010933,-0.013757,-0.072571,1.739130
601318,中国平安,vw7,115,-0.157828,-0.311712,-2.344896,-0.029144,-0.156036,-0.049263,39.130435
601318,中国平安,delta7,115,-0.157828,-0.311712,-2.344896,-0.023337,-0.170057,0.134227,40.000000
601318,中国平安,big7,115,-0.155158,-0.311712,-2.302541,-0.028422,-0.168023,-0.042781,38.260870
601318,中国平安,contra,115,-0.024267,-0.311712,-0.388952,-0.058670,-0.173938,-0.072571,3.478261
601318,中国平安,open30_gap,115,-0.008465,-0.311712,-0.540194,-0.130126,0.074851,0.043683,2.608696
601318,中国平安,combo,115,-0.139660,-0.311712,-2.095106,-0.041756,-0.166915,-0.049263,32.173913
601318,中国平安,volatile_flow,115,-0.218110,-0.311712,-2.499298,0.051892,-0.142226,-0.072571,20.000000
